2015-04-28 13:57:14 - PHP Notice:  Undefined index: quantity in C:\xampp\htdocs\opencart\catalog\controller\api\cart.php on line 21
2015-04-28 13:57:38 - PHP Notice:  Undefined index: quantity in C:\xampp\htdocs\opencart\catalog\controller\api\cart.php on line 21
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: tab_product in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 23
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: column_product in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 231
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: order_products in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 240
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: tab_product in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 298
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: text_product in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 304
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: entry_product in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 306
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: button_product_add in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 321
2015-04-28 14:02:15 - PHP Notice:  Undefined variable: column_product in C:\xampp\htdocs\opencart\admin\view\template\sale\order_form.tpl on line 816
2015-04-29 9:29:32 - PHP Notice:  Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INSEaRT INTO oc_order_room SET order_id = '121', room_id = '116', name = 'Opera ' at line 1<br />Error No: 1064<br />INSEaRT INTO oc_order_room SET order_id = '121', room_id = '116', name = 'Opera wing premium 2 single hotdeal', model = 'Sofitel Legend Metropole Hanoi Hotel', tax = '0', reward = '0' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 204
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 205
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 206
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 207
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 208
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 209
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 210
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 204
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 205
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 206
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 207
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 208
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 209
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 210
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 204
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 205
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 206
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 207
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 208
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 209
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 210
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 204
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'room_option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 205
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 206
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 207
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 208
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 209
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 210
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 343
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 344
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 356
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 343
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 344
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 356
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 343
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 344
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 356
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 343
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 344
2015-04-29 9:57:19 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 356
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'room_option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 204
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'room_option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 205
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'option_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 206
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'option_value_id' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 207
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 208
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 209
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 210
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'type' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 343
